variable,pearson_r,pearson_p,spearman_r,spearman_p,n,abs_pearson
DIQ010,-0.5003934881995575,0.0,-0.3930051542034926,7.373950189809477e-221,6001,0.5003934881995575
HUQ010,0.2627627653055125,2.5736068441040947e-95,0.2575545921020056,1.603111683671102e-91,6000,0.2627627653055125
RIDAGEYR,0.26260279975463774,3.142480402801316e-95,0.44332845306638663,1.813078052360856e-287,6002,0.26260279975463774
BMXWAIST,0.25613619580596364,1.865673746749214e-86,0.35340571552700245,4.462815362590879e-168,5726,0.25613619580596364
DIQ160,-0.2495855447352056,2.926348248402523e-71,-0.28876484640009165,8.508980733835254e-96,4956,0.2495855447352056
BMXBMI,0.20183926862818832,2.0197283801448675e-55,0.28379824476298837,5.55905242275669e-110,5915,0.20183926862818832
DMDEDUC2,-0.201239317974496,9.210123072431354e-54,-0.2184183286370586,3.0728657130669006e-63,5767,0.201239317974496
BMXWT,0.16042952052491596,1.8196997614037313e-35,0.20098423232459353,4.572812218507212e-55,5927,0.16042952052491596
BMXARMC,0.15216391215449396,1.2893089529545541e-31,0.19742231383863032,1.9055717821341217e-52,5845,0.15216391215449396
BMXLEG,-0.14397220584230586,1.5126944515331797e-27,-0.17655219679057219,8.829993366211914e-41,5649,0.14397220584230586
DIQ180,-0.14274965426731262,3.472952728410514e-24,-0.1896472615469027,1.0068695211567857e-41,5002,0.14274965426731262
BMXHIP,0.12949331106188525,1.1926106298860954e-22,0.1719761132805837,6.36387613429074e-39,5675,0.12949331106188525
INDFMPIR,-0.11854812376170806,7.697461954262368e-18,-0.11649610848924791,2.8136289370286534e-17,5233,0.11854812376170806
INQ300,0.11349468702304459,9.442767340668978e-17,0.08648250775836853,2.5359510351485133e-10,5331,0.11349468702304459
INDFMMPI,-0.10111003348805732,2.11924563998569e-12,-0.09266329845713188,1.2204861411427603e-10,4807,0.10111003348805732
WTINT2YR,-0.0929024962195808,5.534025987117417e-13,-0.17444802931180853,3.188383902041083e-42,6002,0.0929024962195808
WTMEC2YR,-0.09260142103526041,6.573538759593362e-13,-0.17579065629239313,7.382867749015116e-43,6002,0.09260142103526041
WTPH2YR,-0.0889223290375365,5.153559997610553e-12,-0.17573514430261825,7.845048007876796e-43,6002,0.0889223290375365
DMQMILIZ,-0.06726737485514414,1.826310449253736e-07,-0.096159387568639,8.300380821359285e-14,6002,0.06726737485514414
HUQ030,-0.0595236060625393,3.953555995417703e-06,-0.1070925201844229,8.979924754318407e-17,6000,0.0595236060625393
SDMVSTRA,0.05887080363576819,5.021649178180478e-06,0.05502199737941138,1.9986735170740557e-05,6002,0.05887080363576819
BMXHT,-0.056558143831630166,1.2933824860920918e-05,-0.09774953727952347,4.367374177678893e-14,5939,0.056558143831630166
HUQ055,-0.05270087755726278,4.4558174992372795e-05,-0.04969680214353177,0.00011837385622199391,5995,0.05270087755726278
DMDBORN4,0.05080920091365097,8.214875993003729e-05,0.09076126206434126,1.8601232723823484e-12,6002,0.05080920091365097
HUQ042,0.04744482347457096,0.0005420290778137248,-0.010090905410260857,0.4621532628567169,5312,0.04744482347457096
DMDHHSIZ,-0.04654298414929931,0.0003097474947721339,-0.10080467326933473,4.960207065287012e-15,6002,0.04654298414929931
BMDSTATS,0.04535824879407783,0.0004395925154247109,0.03780860877060656,0.0033943395437477986,6002,0.04535824879407783
BMXARML,0.0441693532292715,0.0007291791962112207,0.05330973911394862,4.534788931604934e-05,5847,0.0441693532292715
RIAGENDR,-0.03399363660232875,0.008443838938408827,-0.02922049933419276,0.023586468046632964,6002,0.03399363660232875
INDFMMPC,-0.03162634084709626,0.018741153503234895,-0.0446856141111055,0.0008934131396477279,5524,0.03162634084709626
HUQ090,0.03124751787074711,0.015576412978640892,0.07381365822049821,1.0658482128336448e-08,5991,0.03124751787074711
PAD800,0.02902477097266716,0.04476997564762863,-0.055117793297583706,0.00013728484124710574,4781,0.02902477097266716
DMDMARTZ,-0.02862908650078048,0.029755139699734527,-0.06405626538389642,1.1345521553113463e-06,5763,0.02862908650078048
SLD012,0.02842962404263172,0.028458451819931768,-0.00915747808892973,0.48044535482462525,5939,0.02842962404263172
HIQ210,0.027375437459198307,0.042814565503141125,0.04190092239322645,0.00192842865685036,5475,0.027375437459198307
WHD020,0.02565526184247245,0.046867863665352075,0.20789152427675375,1.3527103416096967e-59,6002,0.02565526184247245
WHD050,0.02387957172140222,0.06432935248979377,0.21354210740150387,7.461688763129033e-63,6002,0.02387957172140222
RIDEXMON,-0.023094666472524786,0.07360366638730001,-0.014573471891457473,0.25895302064767073,6002,0.023094666472524786
SDMVPSU,-0.021566003275496435,0.0947967386904161,-0.015379707527837596,0.2335249089980895,6002,0.021566003275496435
WHD010,0.020912073002972684,0.10524262056655373,-0.052740929924731644,4.3516482809735905e-05,6002,0.020912073002972684
PAD810Q,0.020396359545007597,0.11431960595963915,-0.21400906264961386,4.686354508064077e-63,5995,0.020396359545007597
RIDRETH3,0.020367532360061762,0.1146207131253058,0.049735440068708406,0.00011586422499367326,6002,0.020367532360061762
PAD680,0.016685792308226213,0.19640370525033973,-0.055112998753566046,1.9550199595656417e-05,5996,0.016685792308226213
WHQ070,-0.014810895885652623,0.2512732786536065,-0.03846188259432962,0.0028803847390976994,6002,0.014810895885652623
RIDRETH1,0.014036978810533118,0.27690073022643297,0.04949784549240841,0.000124912830378513,6002,0.014036978810533118
HIQ011,0.013159982741834187,0.30855225673391407,-0.012177449009022718,0.3460726902509297,5989,0.013159982741834187
SLD013,-0.010198483203999957,0.43194579319905907,-0.0530139918667294,4.3533874745099494e-05,5940,0.010198483203999957
PAD790Q,-0.0018437120278122626,0.8865080391760003,-0.11055715305027557,9.107916611011925e-18,5995,0.0018437120278122626
RIDSTATR,,,,,6002,
